SeasonType,Season,Week,Date,Team,Opponent,PointsAllowed,TouchdownsScored,SoloTackles,AssistedTackles,Sacks,SackYards,PassesDefended,FumblesForced,FumblesRecovered,FumbleReturnYards,FumbleReturnTouchdowns,Interceptions,InterceptionReturnYards,InterceptionReturnTouchdowns,BlockedKicks,Safeties,PuntReturns,PuntReturnYards,PuntReturnTouchdowns,PuntReturnLong,KickReturns,KickReturnYards,KickReturnTouchdowns,KickReturnLong,BlockedKickReturnTouchdowns,FieldGoalReturnTouchdowns,FantasyPointsAllowed,QuarterbackFantasyPointsAllowed,RunningbackFantasyPointsAllowed,WideReceiverFantasyPointsAllowed,TightEndFantasyPointsAllowed,KickerFantasyPointsAllowed,BlockedKickReturnYards,FieldGoalReturnYards,QuarterbackHits,TacklesForLoss,DefensiveTouchdowns,SpecialTeamsTouchdowns,IsGameOver,FantasyPoints,Stadium,Temperature,Humidity,WindSpeed,ThirdDownAttempts,ThirdDownConversions,FourthDownAttempts,FourthDownConversions,PointsAllowedByDefenseSpecialTeams,FanDuelSalary,DraftKingsSalary,FantasyDataSalary,VictivSalary,TwoPointConversionReturns,FantasyPointsFanDuel,FantasyPointsDraftKings,OffensiveYardsAllowed,YahooSalary,PlayerID,FantasyPointsYahoo,HeAy
1,2008,2,2008-09-14,SD,DEN,39,1,49,14,0,0,7,1,0,0,0,1,10,0,0,0,2,15,0,10,6,212,1,103,0,0,120.5,30.6,20.7,39,21.2,9,0,0,1,4,0,1,TRUE,4,Invesco Field,59,56,5,10,4,1,1,39,\N,\N,\N,\N,0,4,4,486,\N,84,4,AWAY
1,2008,2,2008-09-14,SEA,SF,33,0,49,5,8,49,0,1,1,14,0,0,0,0,0,0,3,46,0,30,5,120,0,54,0,0,83.24,20.04,13.9,34.3,0,15,0,0,8,10,0,0,TRUE,9,Qwest Field,67,63,6,14,5,0,0,27,\N,\N,\N,\N,0,10,10,365,\N,90,10,HOME
1,2008,2,2008-09-14,SF,SEA,30,1,51,6,1,7,7,2,1,1,0,2,87,1,1,0,0,0,0,0,5,136,0,44,0,0,63.36,4.76,29.7,7.1,7.8,14,0,0,2,3,1,0,TRUE,12,Qwest Field,67,63,6,13,5,0,0,30,\N,\N,\N,\N,0,14,14,351,\N,93,14,AWAY
1,2008,2,2008-09-14,STL,NYG,41,0,46,5,2,19,1,1,0,0,0,0,0,0,0,0,1,7,0,7,8,133,0,22,0,0,103.4,22.1,35.6,34.7,0,11,0,0,3,3,0,0,TRUE,-2,Edward Jones Dome,70,90,0,9,4,0,0,35,\N,\N,\N,\N,0,-2,-2,441,\N,32,-2,HOME
1,2008,2,2008-09-14,TB,ATL,9,0,38,14,4,29,4,1,0,0,0,2,24,0,0,0,2,0,0,0,3,61,0,32,0,0,37.62,3.32,8,17.3,0,9,0,0,14,4,0,0,TRUE,12,Raymond James Stadium,89,55,8,19,7,1,0,9,\N,\N,\N,\N,0,12,12,234,\N,95,12,HOME
1,2008,2,2008-09-14,TEN,CIN,7,1,36,20,1,8,5,3,0,-17,0,2,15,0,1,0,2,6,0,9,1,36,0,36,1,0,30.56,1.36,18.9,7.9,1.4,1,0,0,1,6,0,1,TRUE,15,Paul Brown Stadium,88,51,70,13,3,2,2,7,\N,\N,\N,\N,0,17,17,215,\N,34,17,AWAY
1,2008,2,2008-09-14,WAS,NO,24,0,38,17,2,21,9,1,1,5,0,2,10,0,0,0,4,23,0,10,3,76,0,36,0,0,51.74,9.54,20.1,14.7,1.4,6,0,0,2,3,0,0,TRUE,8,Fedex Field,90,55,6,10,3,0,0,24,\N,\N,\N,\N,0,8,8,250,\N,97,8,HOME
1,2008,3,2008-09-21,ARI,WAS,24,0,50,14,2,17,3,0,0,0,0,0,0,0,0,0,2,3,0,3,5,103,0,34,0,0,74.16,18.32,17,18.54,14.3,6,0,0,4,3,0,0,TRUE,2,Fedex Field,75,46,1,11,5,0,0,24,\N,\N,\N,\N,0,2,2,323,\N,1,2,AWAY
1,2008,3,2008-09-21,ATL,KC,14,1,47,9,2,11,9,2,0,0,0,3,51,1,0,0,6,37,0,18,3,44,0,36,0,0,48.32,4.92,25.8,12.1,3.5,2,0,0,4,6,1,0,TRUE,15,Georgia Dome,70,40,0,18,8,2,1,14,\N,\N,\N,\N,0,15,15,301,\N,2,15,HOME
1,2008,3,2008-09-21,BAL,CLE,10,1,32,10,4,26,13,1,0,0,0,3,46,1,0,0,1,21,0,21,3,78,0,30,0,0,32.5,2.9,19.2,5,1.4,4,0,0,9,5,1,0,TRUE,20,M&T Bank Stadium,77,37,2,13,3,0,0,10,\N,\N,\N,\N,0,20,20,169,\N,36,20,HOME
